2.57,9,0.042
2.58,8,0.024
2.59,8,0.14
2.6,8,0.059
2.61,9,0.049
2.62,9,0.058
2.63,7,0.021
2.64,9,0.089
2.65,10,0.038
2.66,8,0.043
2.67,6,0.099
2.68,12,0.082
2.69,8,0.018
2.7,7,0.058
2.71,9,0.053
2.72,9,0.031
2.73,8,0.03
2.74,7,0.025
2.75,6,0.019
2.76,7,0.024
2.77,6,0.039
2.78,7,0.011
2.79,10,0.045
2.8,7,0.094
2.81,7,0.014
2.82,12,0.192
2.83,9,0.043
2.84,6,0.015
2.85,11,0.099
2.86,7,0.214
2.87,8,0.073
2.88,7,0.027
2.89,6,0.018
2.9,8,0.058
2.91,8,0.045
2.92,7,0.047
2.93,5,0.009
2.94,7,0.013
2.95,6,0.028
2.96,8,0.046
2.97,7,0.021
2.98,8,0.032
2.99,11,0.038
3,12,0.129
3.01,6,0.006
3.02,10,0.048
3.03,10,0.085
3.04,8,0.136
3.05,7,0.046
3.06,9,0.087
3.07,5,0.017
3.08,6,0.024
3.09,8,0.039
3.1,6,0.019
3.11,10,0.131
3.12,8,0.053
3.13,10,0.071
3.14,8,0.11
3.15,12,0.083
3.16,7,0.035
3.17,10,0.034
3.18,9,0.053
3.19,6,0.13
3.2,8,0.027
3.21,6,0.017
3.22,10,0.055
3.23,8,0.107
3.24,7,0.074
3.25,7,0.021
3.26,7,0.07
3.27,8,0.039
3.28,7,0.055
3.29,6,0.032
3.3,6,0.015
3.31,6,0.02
3.32,7,0.029
3.33,8,0.06
3.34,9,0.165
3.35,11,0.169
3.36,12,0.08
3.37,7,0.293
3.38,6,0.092
3.39,6,0.039
3.4,8,0.068
3.41,11,0.065
3.42,7,0.184
3.43,7,0.02
3.44,7,0.04
3.45,7,0.083
3.46,9,0.063
3.47,7,0.076
3.48,9,0.051
3.49,7,0.019
3.5,8,0.058
3.51,11,0.075
3.52,6,0.016
3.53,5,0.03
3.54,10,0.143
3.55,5,0.039
3.56,6,0.06
3.57,9,0.056
3.58,7,0.089
3.59,12,0.108
3.6,5,0.108
3.61,9,0.121
3.62,7,0.037
